Comment,Designator,Footprint,LCSC,Quantity
,D11,diode_tht_sod123,,1
,D10,diode_tht_sod123,,1
,D15,diode_tht_sod123,,1
,S11,CPG1316S01D02_mikeholscher,,1
,D20,diode_tht_sod123,,1
,D5,diode_tht_sod123,,1
,S20,CPG1316S01D02_mikeholscher,,1
,D6,diode_tht_sod123,,1
,D23,diode_tht_sod123,,1
,S9,CPG1316S01D02_mikeholscher,,1
,D9,diode_tht_sod123,,1
,S2,CPG1316S01D02_mikeholscher,,1
,S14,CPG1316S01D02_mikeholscher,,1
,D4,diode_tht_sod123,,1
,S1,CPG1316S01D02_mikeholscher,,1
,S21,CPG1316S01D02_mikeholscher,,1
,S3,CPG1316S01D02_mikeholscher,,1
,S17,CPG1316S01D02_mikeholscher,,1
,D24,diode_tht_sod123,,1
,D14,diode_tht_sod123,,1
,D7,diode_tht_sod123,,1
,D13,diode_tht_sod123,,1
,D21,diode_tht_sod123,,1
,D1,diode_tht_sod123,,1
,S5,CPG1316S01D02_mikeholscher,,1
,S19,CPG1316S01D02_mikeholscher,,1
,PWR1,power_switch_smd_side,,1
,S12,CPG1316S01D02_mikeholscher,,1
,D16,diode_tht_sod123,,1
,D22,diode_tht_sod123,,1
,S24,CPG1316S01D02_mikeholscher,,1
,D3,diode_tht_sod123,,1
,D18,diode_tht_sod123,,1
,D17,diode_tht_sod123,,1
,S22,CPG1316S01D02_mikeholscher,,1
,D19,diode_tht_sod123,,1
,S15,CPG1316S01D02_mikeholscher,,1
,S4,CPG1316S01D02_mikeholscher,,1
,S8,CPG1316S01D02_mikeholscher,,1
,S6,CPG1316S01D02_mikeholscher,,1
,S10,CPG1316S01D02_mikeholscher,,1
,D2,diode_tht_sod123,,1
,S23,CPG1316S01D02_mikeholscher,,1
,S7,CPG1316S01D02_mikeholscher,,1
,D8,diode_tht_sod123,,1
,S13,CPG1316S01D02_mikeholscher,,1
,S16,CPG1316S01D02_mikeholscher,,1
,D12,diode_tht_sod123,,1
,S18,CPG1316S01D02_mikeholscher,,1
