Comment,Designator,Footprint,LCSC,Quantity
,D26,diode_tht_sod123,,1
,D31,diode_tht_sod123,,1
,PWR2,power_switch_smd_side,,1
,S41,CPG1316S01D02_mikeholscher,,1
,D28,diode_tht_sod123,,1
,D25,diode_tht_sod123,,1
,S29,CPG1316S01D02_mikeholscher,,1
,D45,diode_tht_sod123,,1
,D41,diode_tht_sod123,,1
,D32,diode_tht_sod123,,1
,D35,diode_tht_sod123,,1
,S31,CPG1316S01D02_mikeholscher,,1
,D34,diode_tht_sod123,,1
,S34,CPG1316S01D02_mikeholscher,,1
,S44,CPG1316S01D02_mikeholscher,,1
,S47,CPG1316S01D02_mikeholscher,,1
,S45,CPG1316S01D02_mikeholscher,,1
,S43,CPG1316S01D02_mikeholscher,,1
,S46,CPG1316S01D02_mikeholscher,,1
,S38,CPG1316S01D02_mikeholscher,,1
,S37,CPG1316S01D02_mikeholscher,,1
,D38,diode_tht_sod123,,1
,D33,diode_tht_sod123,,1
,D30,diode_tht_sod123,,1
,S30,CPG1316S01D02_mikeholscher,,1
,S28,CPG1316S01D02_mikeholscher,,1
,D27,diode_tht_sod123,,1
,D46,diode_tht_sod123,,1
,D42,diode_tht_sod123,,1
,S42,CPG1316S01D02_mikeholscher,,1
,D36,diode_tht_sod123,,1
,S35,CPG1316S01D02_mikeholscher,,1
,S36,CPG1316S01D02_mikeholscher,,1
,D39,diode_tht_sod123,,1
,S32,CPG1316S01D02_mikeholscher,,1
,D47,diode_tht_sod123,,1
,D43,diode_tht_sod123,,1
,S48,CPG1316S01D02_mikeholscher,,1
,S40,CPG1316S01D02_mikeholscher,,1
,D48,diode_tht_sod123,,1
,D40,diode_tht_sod123,,1
,D44,diode_tht_sod123,,1
,S39,CPG1316S01D02_mikeholscher,,1
,S25,CPG1316S01D02_mikeholscher,,1
,S33,CPG1316S01D02_mikeholscher,,1
,S27,CPG1316S01D02_mikeholscher,,1
,D37,diode_tht_sod123,,1
,D29,diode_tht_sod123,,1
,S26,CPG1316S01D02_mikeholscher,,1
