Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,,diode_tht_sod123,49.15,-126.1,180.0,top
D10,,diode_tht_sod123,83.15,-109.1,180.0,top
D11,,diode_tht_sod123,83.15,-92.1,180.0,top
D12,,diode_tht_sod123,83.15,-75.1,180.0,top
D13,,diode_tht_sod123,100.15,-126.1,180.0,top
D14,,diode_tht_sod123,100.15,-109.1,180.0,top
D15,,diode_tht_sod123,100.15,-92.1,180.0,top
D16,,diode_tht_sod123,100.15,-75.1,180.0,top
D17,,diode_tht_sod123,117.15,-126.1,180.0,top
D18,,diode_tht_sod123,117.15,-109.1,180.0,top
D19,,diode_tht_sod123,117.15,-92.1,180.0,top
D2,,diode_tht_sod123,49.15,-109.1,180.0,top
D20,,diode_tht_sod123,117.15,-75.1,180.0,top
D21,,diode_tht_sod123,134.15,-126.1,180.0,top
D22,,diode_tht_sod123,134.15,-109.1,180.0,top
D23,,diode_tht_sod123,134.15,-92.1,180.0,top
D24,,diode_tht_sod123,134.15,-75.1,180.0,top
D3,,diode_tht_sod123,49.15,-92.1,180.0,top
D4,,diode_tht_sod123,49.15,-75.1,180.0,top
D5,,diode_tht_sod123,66.15,-126.1,180.0,top
D6,,diode_tht_sod123,66.15,-109.1,180.0,top
D7,,diode_tht_sod123,66.15,-92.1,180.0,top
D8,,diode_tht_sod123,66.15,-75.1,180.0,top
D9,,diode_tht_sod123,83.15,-126.1,180.0,top
PWR1,,power_switch_smd_side,144.7705,-57.0,0.0,top
S1,,CPG1316S01D02_mikeholscher,48.85,-128.5,0.0,top
S10,,CPG1316S01D02_mikeholscher,82.85,-111.5,0.0,top
S11,,CPG1316S01D02_mikeholscher,82.85,-94.5,0.0,top
S12,,CPG1316S01D02_mikeholscher,82.85,-77.5,0.0,top
S13,,CPG1316S01D02_mikeholscher,99.85,-128.5,0.0,top
S14,,CPG1316S01D02_mikeholscher,99.85,-111.5,0.0,top
S15,,CPG1316S01D02_mikeholscher,99.85,-94.5,0.0,top
S16,,CPG1316S01D02_mikeholscher,99.85,-77.5,0.0,top
S17,,CPG1316S01D02_mikeholscher,116.85,-128.5,0.0,top
S18,,CPG1316S01D02_mikeholscher,116.85,-111.5,0.0,top
S19,,CPG1316S01D02_mikeholscher,116.85,-94.5,0.0,top
S2,,CPG1316S01D02_mikeholscher,48.85,-111.5,0.0,top
S20,,CPG1316S01D02_mikeholscher,116.85,-77.5,0.0,top
S21,,CPG1316S01D02_mikeholscher,133.85,-128.5,0.0,top
S22,,CPG1316S01D02_mikeholscher,133.85,-111.5,0.0,top
S23,,CPG1316S01D02_mikeholscher,133.85,-94.5,0.0,top
S24,,CPG1316S01D02_mikeholscher,133.85,-77.5,0.0,top
S3,,CPG1316S01D02_mikeholscher,48.85,-94.5,0.0,top
S4,,CPG1316S01D02_mikeholscher,48.85,-77.5,0.0,top
S5,,CPG1316S01D02_mikeholscher,65.85,-128.5,0.0,top
S6,,CPG1316S01D02_mikeholscher,65.85,-111.5,0.0,top
S7,,CPG1316S01D02_mikeholscher,65.85,-94.5,0.0,top
S8,,CPG1316S01D02_mikeholscher,65.85,-77.5,0.0,top
S9,,CPG1316S01D02_mikeholscher,82.85,-128.5,0.0,top
