Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D25,,diode_tht_sod123,287.3,-129.7,180.0,top
D26,,diode_tht_sod123,287.3,-112.7,180.0,top
D27,,diode_tht_sod123,287.3,-95.7,180.0,top
D28,,diode_tht_sod123,287.3,-78.7,180.0,top
D29,,diode_tht_sod123,270.3,-129.7,180.0,top
D30,,diode_tht_sod123,270.3,-112.7,180.0,top
D31,,diode_tht_sod123,270.3,-95.7,180.0,top
D32,,diode_tht_sod123,270.3,-78.7,180.0,top
D33,,diode_tht_sod123,253.3,-129.7,180.0,top
D34,,diode_tht_sod123,253.3,-112.7,180.0,top
D35,,diode_tht_sod123,253.3,-95.7,180.0,top
D36,,diode_tht_sod123,253.3,-78.7,180.0,top
D37,,diode_tht_sod123,236.3,-129.7,180.0,top
D38,,diode_tht_sod123,236.3,-112.7,180.0,top
D39,,diode_tht_sod123,236.3,-95.7,180.0,top
D40,,diode_tht_sod123,236.3,-78.7,180.0,top
D41,,diode_tht_sod123,219.3,-129.7,180.0,top
D42,,diode_tht_sod123,219.3,-112.7,180.0,top
D43,,diode_tht_sod123,219.3,-95.7,180.0,top
D44,,diode_tht_sod123,219.3,-78.7,180.0,top
D45,,diode_tht_sod123,202.3,-129.7,180.0,top
D46,,diode_tht_sod123,202.3,-112.7,180.0,top
D47,,diode_tht_sod123,202.3,-95.7,180.0,top
D48,,diode_tht_sod123,202.3,-78.7,180.0,top
PWR2,,power_switch_smd_side,191.0795,-60.6,180.0,top
S25,,CPG1316S01D02_mikeholscher,287.0,-132.1,0.0,top
S26,,CPG1316S01D02_mikeholscher,287.0,-115.1,0.0,top
S27,,CPG1316S01D02_mikeholscher,287.0,-98.1,0.0,top
S28,,CPG1316S01D02_mikeholscher,287.0,-81.1,0.0,top
S29,,CPG1316S01D02_mikeholscher,270.0,-132.1,0.0,top
S30,,CPG1316S01D02_mikeholscher,270.0,-115.1,0.0,top
S31,,CPG1316S01D02_mikeholscher,270.0,-98.1,0.0,top
S32,,CPG1316S01D02_mikeholscher,270.0,-81.1,0.0,top
S33,,CPG1316S01D02_mikeholscher,253.0,-132.1,0.0,top
S34,,CPG1316S01D02_mikeholscher,253.0,-115.1,0.0,top
S35,,CPG1316S01D02_mikeholscher,253.0,-98.1,0.0,top
S36,,CPG1316S01D02_mikeholscher,253.0,-81.1,0.0,top
S37,,CPG1316S01D02_mikeholscher,236.0,-132.1,0.0,top
S38,,CPG1316S01D02_mikeholscher,236.0,-115.1,0.0,top
S39,,CPG1316S01D02_mikeholscher,236.0,-98.1,0.0,top
S40,,CPG1316S01D02_mikeholscher,236.0,-81.1,0.0,top
S41,,CPG1316S01D02_mikeholscher,219.0,-132.1,0.0,top
S42,,CPG1316S01D02_mikeholscher,219.0,-115.1,0.0,top
S43,,CPG1316S01D02_mikeholscher,219.0,-98.1,0.0,top
S44,,CPG1316S01D02_mikeholscher,219.0,-81.1,0.0,top
S45,,CPG1316S01D02_mikeholscher,202.0,-132.1,0.0,top
S46,,CPG1316S01D02_mikeholscher,202.0,-115.1,0.0,top
S47,,CPG1316S01D02_mikeholscher,202.0,-98.1,0.0,top
S48,,CPG1316S01D02_mikeholscher,202.0,-81.1,0.0,top
